1,Операционные системы и компьютерные сети,ОСиКС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
2,Информационные технологии и основы программирования,ИТиОП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
77,Человеко-машинное взаимодействие,ЧМВ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
78,Системное и прикладное программное обеспечение,СиППО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
79,Психология и педагогика,ПиП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
81,Интеллектупльные системы,ИС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
9,Структуры данных и алгоритмы,СДиА,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
10,"История (история России, всеобщая история) ",Ист,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
15,Безопасность жизнедеятельности,БЖД,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
17,Численные методы,ЧМ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
18,Архитектура вычислительных систем и программное обеспечение,АВСиПО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
19,Программирование вычислений,ПВ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
20,Введение в искусственный интеллект и логическое программирование ,ВвИИиЛП,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
23,Проектирование интерфейсов и системный анализ,ПИиСА,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
24,Методы оптимизации,МО,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
80,Системы реального времени,СРВ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
26,Уравнения математической физики,УМФ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
27,Языки программирования и методы трансляции,ЯПиМТ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
30,Интеллектуальные системы,ИС,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
31,Компьютерное моделирование,КМ,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
