1,TEST POS,TP,2024-05-04 11:13:25+07,2024-05-04 11:13:25+07
2,Доцент,Доц.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
3,Профессор,Проф.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
4,Ведущий инженер-программист,Вед. инж.-прогр.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
5,Старший преподаватель,Ст.препод.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
6,Младший научный сотрудник,Мл.науч.сотр.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
7,Ассистент,Ассист.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
8,Инженер 1 категории,Инж.1.кат.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
9,Инженер 2 категории,Инж.2.кат.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
10,Инженер,Инж.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
11,Заведующий кафедрой,Зав.каф.,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
